Table No.19 (b),,,,,,,,
"STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS RECEIVED BY ACQUISITION OF
SHARES ROUTE DURING APRIL 2018 TO JUNE, 2018",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,"RBI
Regional Office",Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
1,Aptus Value Housing Finance India Ltd,Mauritius,"Westbridge Crossover Fund, Llc, Mauritiu",REGION NOT INDICATED,"Other financial service activities, except insurance and pension funding activities, n.e.c.",7.85,0.12,
2,Aptus Value Housing Finance India Ltd,Mauritius,"Westbridge Crossover Fund, Llc, Mauritiu","REGION
NOT INDICATED","Other financial service activities,
except insurance and pension funding activities, n.e.c.",15.70,0.23,
3,Bentoli Agrinutrition India Pvt Ltd,U.S.A,"William Robinson, Usa",REGION NOT INDICATED,Manufacture of poultry feed,0.90,0.01,
4,Bentoli Agrinutrition India Pvt Ltd,U.S.A,Edward S Robinson. Usa,REGION NOT INDICATED,Manufacture of poultry feed,0.90,0.01,
5,Iewc Wire & Cable India Pvt Ltd,U.S.A,"Iewc Holding Corp ,Usa",REGION NOT INDICATED,Activities of the cable operators,1.00,0.01,
6,Lucideus Technologies Pvt Ltd,U.S.A,"Lucideus Inc,Usa","REGION NOT
INDICATED",Other information technology and computer service activities n.e.c.,0.05,0.00,
7,ADANI POWER LTD,Mauritius,PAN ASIA TRADE AND INVESTMENT PVT LTD -,"REGION
NOT INDICATED",Electric power generation by coal based thermal power plants,12.87,0.19,
8,Lucideus Technologies Pvt Ltd,U.S.A,"Lucideus Inc,Usa",REGION NOT INDICATED,Other information technology and computer service activities n.e.c.,0.05,0.00,
9,Owlgrin India Pvt Ltd,U.S.A,"Owlgrin Inc,Usa",REGION NOT INDICATED,"Operation of other websites that act as portals to the Internet, such as media sites providing periodically updated content",0.04,0.00,
10,Owlgrin India Pvt Ltd,U.S.A,"Owlgrin Inc,Usa",REGION NOT INDICATED,"Operation of other websites that act as portals to the Internet, such as media sites providing
periodically updated content",0.02,0.00,
11,Parikh Packaging Private Limited,Netherlands,Gpc Holdings Bv Netherlands,REGION NOT INDICATED,"Manufacture of semi-finished of plastic products (plastic plates, sheets, blocks, film, foil, strip etc.)",219.06,3.23,
12,Parikh Packaging Private Limited,Netherlands,Gpc Holdings Bv Netherlands,REGION NOT INDICATED,"Manufacture of semi-finished of plastic products (plastic plates, sheets, blocks, film, foil, strip etc.)",128.72,1.90,
13,Parikh Packaging Private Limited,Netherlands,Gpc Holdings Bv Netherlands,REGION NOT INDICATED,"Manufacture of semi-finished of plastic products (plastic plates, sheets, blocks, film, foil, strip etc.)",56.74,0.84,
14,Parikh Packaging Private Limited,Netherlands,Gpc Holdings Bv Netherlands,REGION NOT INDICATED,"Manufacture of semi-finished of plastic products (plastic plates, sheets, blocks, film, foil, strip etc.)",56.74,0.84,
15,Parikh Packaging Private Limited,Netherlands,Gpc Holdings Bv Netherlands,"REGION
NOT INDICATED","Manufacture of semi-finished of
plastic products (plastic plates, sheets, blocks, film, foil, strip etc.)",35.66,0.53,
16,Parikh Packaging Private Limited,Netherlands,Gpc Holdings Bv Netherlands,REGION NOT INDICATED,"Manufacture of semi-finished of plastic products (plastic plates, sheets, blocks, film, foil, strip etc.)",8.91,0.13,
17,Parikh Packaging Private Limited,Netherlands,Gpc Holdings Bv Netherlands,REGION NOT INDICATED,"Manufacture of semi-finished of plastic products (plastic plates, sheets, blocks, film, foil, strip etc.)",13.37,0.20,
18,Krishna Institute Of Medical Sciences Li,Singapore,General Atlantic Singapore,REGION,Hospital activities,556.31,8.21,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,"RBI
Regional Office",Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,,,KH Pte Ltd,NOT INDICATED,,,,
19,Parikh Packaging Private Limited,Netherlands,Gpc Holdings Bv Netherlands,REGION NOT INDICATED,"Manufacture of semi-finished of plastic products (plastic plates, sheets, blocks, film, foil, strip etc.)",19.97,0.29,
20,Parikh Packaging Private Limited,Netherlands,Gpc Holdings Bv Netherlands,REGION NOT INDICATED,"Manufacture of semi-finished of plastic products (plastic plates, sheets, blocks, film, foil, strip etc.)",35.00,0.52,
21,Valuevest Learning Solutions Private Lim,U.S.A,Valuevest INC,"REGION
NOT INDICATED",Other educational services n.e.c.,0.04,0.00,
22,Kannur International Airport Ltd,UAE,Muhammed Arif T K,REGION NOT INDICATED,Cargo handling incidental to air transport,0.05,0.00,
23,Kannur International Airport Ltd,Saudi Arabia,Sathiyan A C,REGION NOT INDICATED,Cargo handling incidental to air transport,0.10,0.00,
24,Kannur International Airport Ltd,UAE,Kadavath Purayel Jayachandran,REGION NOT INDICATED,Cargo handling incidental to air transport,0.10,0.00,
25,Kannur International Airport Ltd,UAE,Aslam Kutty,REGION NOT INDICATED,Cargo handling incidental to air transport,0.20,0.00,
26,Kaze Energy Limited,Japan,"Orix Corporation, Japan","REGION
NOT INDICATED",Electric power generation using other non conventional sources,352.98,5.38,
27,TULIP DIAGNOSTICS PVT. LTD.,Luxembourg,PERKINELMER HOLDING LUXEMBOURG S.A.R.L.,REGION NOT INDICATED,"Manufacture of various other chemical products n.e.c.(antiknock preparations, anti-freeze preparations, liquids for hydraulic transmission, composite diagnostic or laboratory reagents, writing or drawing ink, chemical substance used in manufacturing of pe",227.11,3.46,
28,Kannur International Airport Ltd,Qatar,Moido Chipayintavida,REGION NOT INDICATED,Cargo handling incidental to air transport,0.10,0.00,
29,Indus Towers Limited,Mauritius,Vodafone Telecommunications (India) Ltd.,REGION NOT INDICATED,Activities of other wireless telecommunications activities,0.00,0.00,
30,Kannur International Airport Ltd,Algeria,Sreejithkumar P,"REGION NOT
INDICATED",Cargo handling incidental to air transport,0.25,0.00,
31,AUTORABIT SOFTWARE PVT LTD,U.S.A,AUTORABIT INC - UNITED STATES OF AMERICA,REGION NOT INDICATED,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding web-page designing",2.61,0.04,
32,BURSYS INFOTECH INDIA PVT LTD,U.S.A,VCP ENTERPRISES LLC - UNITED STATES OF A,REGION NOT INDICATED,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding web-page designing",1.07,0.02,
33,CLIMACELL IN PRIVATE LIMITED,U.S.A,"CLIMACELL INC , USA",REGION NOT INDICATED,"Other professional, scientific and technical activities n.e.c.",0.05,0.00,
34,Spandana Sphoorty Financial Limited,Mauritius,"Kangchenjunga Limited, Mauritius",REGION NOT INDICATED,"Other financial service activities, except insurance and pension funding activities, n.e.c.",187.46,2.77,
35,SMARTPIPE SOLUTIONS INDIA PRIVATE LIMITE,United Kingdom,SMARTPIPE SOLUTIONS LIMITED (UNITED KING,REGION NOT INDICATED,"Other data processing, hosting and related activities n.e.c.",0.00,0.00,
36,Fusion Microfinance Private Limited,U.S.A,"Creation Investments Fusion, LLC",REGION NOT,"Other financial service activities, except insurance and pension",10.90,0.16,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,"RBI
Regional Office",Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,,,,INDICATED,"funding activities, n.e.c.",,,
37,Cachatto India Private Limited,Japan,"E-JAN Networks Co., Japan",REGION NOT INDICATED,Other information technology and computer service activities n.e.c.,0.02,0.00,
38,SANKALP SEMICONDUCTOR PVT LTD,U.S.A,SAMIR PATEL - UNITED STATES OF AMERICA,REGION NOT INDICATED,Other information technology and computer service activities n.e.c.,3.41,0.05,
39,NORTHOUT SOLUTIONS PVT LTD,U.S.A,NORTHOUT INC - UNITED STATES OF AMERICA,REGION NOT INDICATED,"Writing , modifying, testing of computer program to meet the needs of a particular client
excluding web-page designing",1.39,0.02,
40,"M/S. Analytix Data Services Pvt Ltd, Hyd",U.S.A,"M/S. Analytix Data Services Inc, Usa",REGION NOT INDICATED,Other information technology and computer service activities n.e.c.,0.48,0.01,
41,Parikh Packaging Private Limited,Netherlands,Gpc Holdings Bv Netherlands,REGION NOT INDICATED,"Manufacture of semi-finished of plastic products (plastic plates, sheets, blocks, film, foil, strip etc.)",223.52,3.30,
42,APARNA PAPER PROCESSING INDUSTRY PRIVATE,Netherlands,GPC HOLDINGS B.V. (NETHERLANDS),REGION NOT INDICATED,"Manufacture of plastic articles for the packing of goods (plastic bags, sacks, containers, boxes, cases,
carboys, bottles etc.)",192.89,2.85,
43,APARNA PAPER PROCESSING INDUSTRY PRIVATE,Netherlands,GPC HOLDINGS B.V. (NETHERLANDS),REGION NOT INDICATED,"Manufacture of plastic articles for the packing of goods (plastic bags, sacks, containers, boxes, cases, carboys, bottles etc.)",204.13,3.01,
44,APARNA PAPER PROCESSING INDUSTRY PRIVATE,Netherlands,GPC HOLDINGS B.V. (NETHERLANDS),REGION NOT INDICATED,"Manufacture of plastic articles for the packing of goods (plastic bags, sacks, containers, boxes, cases, carboys, bottles etc.)",338.94,5.00,
45,APARNA PAPER PROCESSING INDUSTRY PRIVATE,Netherlands,GPC HOLDINGS B.V. (NETHERLANDS),REGION NOT INDICATED,"Manufacture of plastic articles for the packing of goods (plastic bags, sacks, containers, boxes, cases,
carboys, bottles etc.)",32.21,0.48,
46,APARNA PAPER PROCESSING INDUSTRY PRIVATE,Netherlands,GPC HOLDINGS B.V. (NETHERLANDS),REGION NOT INDICATED,"Manufacture of plastic articles for the packing of goods (plastic bags, sacks, containers, boxes, cases, carboys, bottles etc.)",6.82,0.10,
47,CREATIVE POLYPACK LIMITED,Netherlands,GPC HOLDINGS B.V. (NETHERLANDS),REGION NOT INDICATED,"Manufacture of plastic articles for the packing of goods (plastic bags, sacks, containers, boxes, cases,
carboys, bottles etc.)",271.11,4.00,
48,AMERICLOUD SOLUTIONS INDIA PVT LTD,U.S.A,AMERICLOUD SOLUTIONS INC - UNITED STATES,REGION NOT INDICATED,Activities of employment placement agencies,0.05,0.00,
49,CREATIVE POLYPACK LIMITED,Netherlands,GPC HOLDINGS B.V. (NETHERLANDS),REGION NOT INDICATED,"Manufacture of plastic articles for the packing of goods (plastic bags, sacks, containers, boxes, cases, carboys, bottles etc.)",174.48,2.57,
50,CREATIVE POLYPACK LIMITED,Netherlands,GPC HOLDINGS B.V. (NETHERLANDS),REGION NOT INDICATED,"Manufacture of plastic articles for the packing of goods (plastic bags, sacks, containers, boxes, cases,
carboys, bottles etc.)",820.23,12.10,
51,CREATIVE POLYPACK LIMITED,Netherlands,GPC HOLDINGS B.V. (NETHERLANDS),REGION NOT INDICATED,"Manufacture of plastic articles for the packing of goods (plastic bags, sacks, containers, boxes, cases, carboys, bottles etc.)",112.24,1.66,
52,CREATIVE POLYPACK LIMITED,Netherlands,GPC HOLDINGS B.V. (NETHERLANDS),REGION NOT INDICATED,"Manufacture of plastic articles for the packing of goods (plastic bags, sacks, containers, boxes, cases,
carboys, bottles etc.)",301.94,4.45,
